Designator,Val,Package,Mid X,Mid y,Rotation,Layer
C1,22uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,129.54,-93.98,90,top
C2,0.1u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,162.052,-109.779213,90,top
C3,22uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,155.815,-105.385,-90,top
C4,10n,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,174.290114,-106.426,180,top
C5,22uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,141.605,-93.98,90,top
C6,22uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,154.94,-93.98,90,top
C7,2.22u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,166.624,-109.728,90,top
C8,22uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,142.48,-105.385,90,top
C9,0.1uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,182.1625,-113.25,180,top
R1,10K,R_1206_3216Metric,180.975,-82.55,90,top
R2,4.7k,R_1206_3216Metric,170.1625,-117.75,90,top
R3,4.7k,R_1206_3216Metric,175.2425,-117.75,90,top
R4,4.7k,R_1206_3216Metric,180,-119,0,top
U1,A3909,SSOP-10_3.9x4.9mm_P1.00mm,134.62,-93.98,0,top
U2,AMS1117-3.3,SOT-89-3,149.465,-107.29,-90,top
U3,A3909,SSOP-10_3.9x4.9mm_P1.00mm,147.955,-93.98,0,top
U4,A3909,SSOP-10_3.9x4.9mm_P1.00mm,160.655,-93.98,0,top
U6,MC6470,PQFN50P200X200X100-12N,181.6625,-107.75,90,top
U7,ICM-42670-P,IC_ICM-42670-P,172.6625,-112.25,180,top
